country_iso,year,total_stations,dc_fast_chargers,ac_chargers,avg_power_kw,source,country_name,ev_stock,ev_sales,lithium_prod_t,cobalt_prod_t,mine_production_prod_t,lithium_import_t,lithium_export_t,cobalt_import_t,cobalt_export_t,nickel_import_t,nickel_export_t,graphite_import_t,graphite_export_t,battery_demand_mwh_est,prev_year_stations,prev_year_ev_stock
FIN,2014,117.0,21.0,94.0,21.13823529411765,OpenChargeMap + AFDC,Finland,930.0,440.0,,,,,,,,,,,,26.4,1.0,470.0
FIN,2015,70.0,14.0,56.0,22.995652173913044,OpenChargeMap + AFDC,Finland,1580.0,660.0,,,,,,,,,,,,39.6,117.0,930.0
FIN,2016,64.0,9.0,54.0,24.67096774193548,OpenChargeMap + AFDC,Finland,3240.0,1420.0,,,,,,,,,,,,85.2,70.0,1580.0
FIN,2017,58.0,11.0,47.0,37.92631578947369,OpenChargeMap + AFDC,Finland,7100.0,3100.0,,,,,,,,,,,,186.0,64.0,3240.0
FIN,2018,20.0,1.0,19.0,24.66842105263158,OpenChargeMap + AFDC,Finland,15400.0,5680.0,,,,,,,,,,,,340.8,58.0,7100.0
FIN,2019,61.0,43.0,18.0,59.0,OpenChargeMap + AFDC,Finland,29700.0,7900.0,,,,,,,,,,,,474.0,20.0,15400.0
FIN,2020,215.0,47.0,168.0,32.573488372093024,OpenChargeMap + AFDC,Finland,55700.0,17200.0,,,,,,,,,,,,1032.0,61.0,29700.0
FIN,2021,48.0,19.0,29.0,61.083333333333336,OpenChargeMap + AFDC,Finland,100000.0,30000.0,,,,,,,,,,,,1800.0,215.0,55700.0
FIN,2022,29.0,16.0,13.0,52.6551724137931,OpenChargeMap + AFDC,Finland,145000.0,31000.0,,,,,,,,,,,,1860.0,48.0,100000.0
FIN,2023,1065.0,628.0,379.0,30.60608175473579,OpenChargeMap + AFDC,Finland,224000.0,48000.0,,,,,,,,,,,,2880.0,29.0,145000.0
FIN,2024,115.0,36.0,71.0,91.35327102803738,OpenChargeMap + AFDC,Finland,260000.0,37000.0,,,,,,,,,,,,2220.0,1065.0,224000.0
FRA,2023,365.0,333.0,31.0,195.0436813186813,OpenChargeMap + AFDC,France,1570000.0,470000.0,,,,,,,,,,,,28200.0,2199.0,1050000.0
FRA,2024,142.0,113.0,28.0,224.4964539007092,OpenChargeMap + AFDC,France,1750000.0,450000.0,,,,,,,,,,,,27000.0,365.0,1570000.0
GBR,2024,601.0,381.0,216.0,77.9547403685092,OpenChargeMap + AFDC,United Kingdom,2170000.0,550000.0,,,,,,,,,,,,33000.0,4214.0,1580000.0
IND,2020,9.0,1.0,4.0,19.06,OpenChargeMap + AFDC,India,12050.0,3143.0,,,,,,,,,,,,188.58,1.0,8607.0
IND,2021,6.0,2.0,2.0,19.575,OpenChargeMap + AFDC,India,23100.0,12050.0,,,,,,,,,,,,723.0,9.0,12050.0
IND,2022,7.0,4.0,3.0,21.714285714285715,OpenChargeMap + AFDC,India,72120.0,48023.0,,,,,,,,,,,,2881.38,6.0,23100.0
IND,2023,15.0,9.0,4.0,27.700000000000003,OpenChargeMap + AFDC,India,150390.0,82270.0,,,,,,,,,,,,4936.2,7.0,72120.0
IND,2024,172.0,146.0,21.0,41.05988023952096,OpenChargeMap + AFDC,India,240480.0,92095.0,,,,,,,,,,,,5525.7,15.0,150390.0
ITA,2020,1322.0,199.0,1104.0,30.35824345146379,OpenChargeMap + AFDC,Italy,99000.0,60000.0,,,,,,,,,,,,3600.0,135.0,40000.0
ITA,2021,829.0,277.0,533.0,43.922249690976514,OpenChargeMap + AFDC,Italy,230000.0,138000.0,,,,,,,,,,,,8280.0,1322.0,99000.0
ITA,2022,947.0,514.0,429.0,82.43117709437965,OpenChargeMap + AFDC,Italy,350000.0,114000.0,,,,,,,,,,,,6840.0,829.0,230000.0
ITA,2023,725.0,354.0,363.0,76.11352859135286,OpenChargeMap + AFDC,Italy,490000.0,136000.0,,,,,,,,,,,,8160.0,947.0,350000.0
ITA,2024,549.0,371.0,173.0,82.79724264705882,OpenChargeMap + AFDC,Italy,600000.0,118000.0,,,,,,,,,,,,7080.0,725.0,490000.0
JPN,2013,1266.0,1.0,1265.0,48.0,OpenChargeMap + AFDC,Japan,69000.0,29000.0,,,,,,,,,,,,1740.0,14.0,16015.0
JPN,2015,38.0,8.0,30.0,24.33333333333333,OpenChargeMap + AFDC,Japan,134000.0,24000.0,,,,,,,,,,,,1440.0,1266.0,69000.0
JPN,2016,184.0,184.0,0.0,50.18478260869565,OpenChargeMap + AFDC,Japan,153000.0,24400.0,,,,,,,,,,,,1464.0,38.0,134000.0
JPN,2024,123.0,123.0,0.0,208.91056910569105,OpenChargeMap + AFDC,Japan,620000.0,103000.0,,,,527066.786888,92266.15769,4482.326,2952.97,638401.32576,23771.055,29653.269305,954.631805,6180.0,184.0,153000.0
JPN,2025,16.0,0.0,16.0,90.0,OpenChargeMap + AFDC,,620000.0,103000.0,,,,200317.984487,42525.146772,3609.8,2803.768,792660.0500640001,30107.619,31619.10553,927.366575,6180.0,123.0,620000.0
NLD,2016,2051.0,27.0,2019.0,11.59622733953944,OpenChargeMap + AFDC,Netherlands,112000.0,43000.0,,,,,,,,,,,,2580.0,2304.0,88400.0
NLD,2017,80.0,13.0,65.0,28.777631578947368,OpenChargeMap + AFDC,Netherlands,118000.0,26000.0,,,,155963.1929,122406.495,4.8471660000000005,1179.160617,19024.719318,48942.618507,13999.704,12649.998,1560.0,2051.0,112000.0
NLD,2018,48.0,10.0,38.0,34.46739130434783,OpenChargeMap + AFDC,Netherlands,143000.0,27600.0,,,,178367.657,148256.793,2149.666659,1012.970171,49889.819441,42059.96343900001,5189.856,7493.546983,1656.0,80.0,118000.0
NLD,2019,96.0,49.0,45.0,78.8978021978022,OpenChargeMap + AFDC,Netherlands,207000.0,66500.0,,,,136698.880601,150549.09399999998,2233.724242,2183.410638,34742.667238999995,46422.645,11720.794,9198.856,3990.0,48.0,143000.0
NLD,2020,46.0,15.0,31.0,42.36086956521739,OpenChargeMap + AFDC,Netherlands,290000.0,87000.0,,,,116734.895988,124615.17923,3007.58891,3183.1593820000003,35315.339351,38419.3388,12285.577,12053.791,5220.0,96.0,207000.0
NLD,2021,70.0,14.0,44.0,73.75862068965517,OpenChargeMap + AFDC,Netherlands,390000.0,94000.0,,,,112258.029718,133070.341444,2.429,2668.905072,35688.542,43038.014,9737.662,11597.188,5640.0,46.0,290000.0
NLD,2022,49.0,19.0,27.0,83.8695652173913,OpenChargeMap + AFDC,Netherlands,530000.0,107000.0,,,,131546.173286,149814.41700000002,4347.518797,3267.772187,54825.645736,37650.295000000006,15902.314,28715.54,6420.0,70.0,390000.0
NLD,2023,30.0,18.0,11.0,95.6896551724138,OpenChargeMap + AFDC,Netherlands,730000.0,156000.0,,,,127194.548538,92777.581538,2374.933954,1765.386851,35623.772258000005,50018.293,10715.461,11676.573013,9360.0,49.0,530000.0
NLD,2024,51.0,27.0,23.0,111.68,OpenChargeMap + AFDC,Netherlands,980000.0,182000.0,,,,143414.09689899997,99862.492121,2310.911282,1753.6927260000002,27904.669995,34850.266156000005,8936.849209,11103.469307,10920.0,30.0,730000.0
NOR,2013,7.0,6.0,0.0,151.66666666666666,OpenChargeMap + AFDC,Norway,15660.0,8240.0,,,,,,,,,,,,494.4,134.0,8340.0
NOR,2014,293.0,37.0,255.0,17.34742268041237,OpenChargeMap + AFDC,Norway,35300.0,21700.0,,,,,,,,,,,,1302.0,7.0,15660.0
NOR,2015,965.0,79.0,883.0,12.744282744282744,OpenChargeMap + AFDC,Norway,69000.0,33900.0,,,,,,,,,,,,2034.0,293.0,35300.0
NOR,2016,195.0,51.0,143.0,30.28315789473684,OpenChargeMap + AFDC,Norway,114000.0,45000.0,,,,,,,,,,,,2700.0,965.0,69000.0
NOR,2017,172.0,34.0,137.0,31.269005847953217,OpenChargeMap + AFDC,Norway,180000.0,62000.0,,,,,,,,,,,,3720.0,195.0,114000.0
NOR,2018,101.0,12.0,89.0,30.93069306930693,OpenChargeMap + AFDC,Norway,247000.0,73000.0,,,,,,,,,,,,4380.0,172.0,180000.0
NOR,2019,120.0,16.0,103.0,38.666386554621845,OpenChargeMap + AFDC,Norway,330000.0,79000.0,,,,,,,,,,,,4740.0,101.0,247000.0
NOR,2020,526.0,216.0,310.0,46.58726235741445,OpenChargeMap + AFDC,Norway,490000.0,106000.0,,,,,,,,,,,,6360.0,120.0,330000.0
NOR,2021,124.0,71.0,53.0,91.23306451612903,OpenChargeMap + AFDC,Norway,630000.0,148000.0,,,,,,,,,,,,8880.0,526.0,490000.0
NOR,2022,17.0,12.0,5.0,201.64705882352945,OpenChargeMap + AFDC,Norway,790000.0,156000.0,,,,,,,,,,,,9360.0,124.0,630000.0
NOR,2023,2017.0,787.0,1144.0,46.50067567567568,OpenChargeMap + AFDC,Norway,900000.0,110000.0,,,,,,,,,,,,6600.0,17.0,790000.0
NOR,2024,120.0,59.0,40.0,106.06262626262628,OpenChargeMap + AFDC,Norway,960000.0,113500.0,,,,,,,,,,,,6810.0,2017.0,900000.0
POL,2015,34.0,6.0,26.0,24.009375,OpenChargeMap + AFDC,Poland,0.0,220.0,,,,,,,,,,,,13.2,1.0,0.0
POL,2016,57.0,13.0,42.0,26.953703703703702,OpenChargeMap + AFDC,Poland,0.0,510.0,,,,,,,,,,,,30.6,34.0,0.0
POL,2017,35.0,6.0,27.0,22.91818181818182,OpenChargeMap + AFDC,Poland,0.0,1080.0,,,,,,,,,,,,64.8,57.0,0.0
POL,2018,39.0,8.0,31.0,27.56410256410257,OpenChargeMap + AFDC,Poland,0.0,1380.0,,,,,,,,,,,,82.8,35.0,0.0
POL,2019,138.0,100.0,38.0,41.07971014492754,OpenChargeMap + AFDC,Poland,8600.0,2700.0,,,,,,,,,,,,162.0,39.0,0.0
POL,2020,62.0,46.0,15.0,56.27704918032787,OpenChargeMap + AFDC,Poland,17700.0,8200.0,,,,,,,,,,,,492.0,138.0,8600.0
POL,2021,43.0,17.0,26.0,30.05581395348837,OpenChargeMap + AFDC,Poland,37000.0,16300.0,,,,,,,,,,,,978.0,62.0,17700.0
POL,2022,21.0,18.0,3.0,151.8095238095238,OpenChargeMap + AFDC,Poland,61000.0,25000.0,,,,,,,,,,,,1500.0,43.0,37000.0
POL,2023,5.0,3.0,2.0,120.0,OpenChargeMap + AFDC,Poland,99000.0,30000.0,,,,,,,,,,,,1800.0,21.0,61000.0
POL,2024,19.0,17.0,2.0,232.1052631578948,OpenChargeMap + AFDC,Poland,119000.0,32000.0,,,,,,,,,,,,1920.0,5.0,99000.0
PRT,2012,81.0,1.0,80.0,7.380246913580249,OpenChargeMap + AFDC,Portugal,0.0,84.0,310.47,,,,,,,,,,,5.04,96.0,0.0
PRT,2013,2.0,0.0,2.0,22.0,OpenChargeMap + AFDC,Portugal,1137.0,185.0,299.1018,,,,,,,,,,,11.1,81.0,0.0
PRT,2014,134.0,3.0,131.0,6.579104477611939,OpenChargeMap + AFDC,Portugal,1346.0,288.0,261.885,,,,,,,,,,,17.28,2.0,1137.0
PRT,2015,16.0,1.0,15.0,10.0375,OpenChargeMap + AFDC,Portugal,2530.0,1100.0,256.79928,,,,,,,,,,,66.0,134.0,1346.0
PRT,2016,13.0,6.0,7.0,40.01538461538461,OpenChargeMap + AFDC,Portugal,4400.0,1800.0,386.37,,,,,,,,,,,108.0,16.0,2530.0
PRT,2017,76.0,26.0,50.0,28.959210526315783,OpenChargeMap + AFDC,Portugal,8800.0,4400.0,761.1492,,,,,,,,,,,264.0,13.0,4400.0
PRT,2018,102.0,18.0,84.0,27.350980392156863,OpenChargeMap + AFDC,Portugal,16700.0,8200.0,1152.2738,,,,,,,,,,,492.0,76.0,8800.0
PRT,2019,170.0,31.0,139.0,26.58,OpenChargeMap + AFDC,Portugal,30000.0,12600.0,898.67806,,,,,,,,,,,756.0,102.0,16700.0
PRT,2020,507.0,146.0,361.0,28.82224852071006,OpenChargeMap + AFDC,Portugal,49000.0,19800.0,347.775,,,,,,,,,,,1188.0,170.0,30000.0
PRT,2021,536.0,274.0,262.0,48.98358208955224,OpenChargeMap + AFDC,Portugal,78000.0,29000.0,900.0,,,,,,,,,,,1740.0,507.0,49000.0
PRT,2022,400.0,260.0,140.0,48.905,OpenChargeMap + AFDC,Portugal,111000.0,34000.0,380.0,,,,,,,,,,,2040.0,536.0,78000.0
PRT,2023,1148.0,627.0,521.0,49.03554006968641,OpenChargeMap + AFDC,Portugal,175000.0,63000.0,380.0,,,,,,,,,,,3780.0,400.0,111000.0
PRT,2024,18.0,14.0,4.0,150.7277777777778,OpenChargeMap + AFDC,Portugal,240000.0,70000.0,380.0,,,,,,,,,,,4200.0,1148.0,175000.0
SWE,2015,377.0,28.0,348.0,26.851946666666667,OpenChargeMap + AFDC,Sweden,14600.0,8700.0,,,,,,,,,,,,522.0,52.0,7100.0
SWE,2016,183.0,20.0,163.0,31.47868852459016,OpenChargeMap + AFDC,Sweden,26500.0,12900.0,,,,,,,,,,,,774.0,377.0,14600.0
SWE,2017,356.0,25.0,330.0,23.48760563380282,OpenChargeMap + AFDC,Sweden,43000.0,20400.0,,,,3875.177765,119266.947708,3.001788,61.791167,22785.0,221.0,1400.56336,267.137866,1224.0,183.0,26500.0
SWE,2018,206.0,10.0,196.0,24.1,OpenChargeMap + AFDC,Sweden,66000.0,29100.0,,,,5577.590574,20.158228,198.954749,86.12155800000001,23630.483991,258.192905,1705.0196299999998,295.79622600000005,1746.0,356.0,43000.0
SWE,2019,262.0,16.0,244.0,27.135658914728683,OpenChargeMap + AFDC,Sweden,97000.0,41000.0,,,,6478.896064,91437.713193,258.017731,101.09721,23532.106376,425.255187,1553.795346,230.108065,2460.0,206.0,66000.0
SWE,2020,566.0,164.0,401.0,36.54672566371681,OpenChargeMap + AFDC,Sweden,176000.0,94000.0,,,,6660.156437999999,1.341463,138.39685,60.067281,16829.0,964.28591,1412.506528,198.540002,5640.0,262.0,97000.0
SWE,2021,156.0,42.0,112.0,45.53831168831169,OpenChargeMap + AFDC,Sweden,300000.0,135000.0,,,,5767.107063,8.571429,0.0,38.910563,15653.536088,169.429735,1712.093714,256.29989,8100.0,566.0,176000.0
SWE,2022,178.0,69.0,108.0,120.28926553672316,OpenChargeMap + AFDC,Sweden,440000.0,163000.0,,,,8566.146564,44832.084468,260.518365,52.647327,14071.436088,212.163014,1544.8235,234.29983,9780.0,156.0,300000.0
SWE,2023,2190.0,484.0,1674.0,44.25215577190542,OpenChargeMap + AFDC,Sweden,560000.0,171000.0,,,,7709.658151,51218.590585,208.58938,20.08006,15164.028822,667.024107,1446.492102,225.125908,10260.0,178.0,440000.0
SWE,2024,387.0,60.0,310.0,85.18783783783783,OpenChargeMap + AFDC,Sweden,670000.0,157000.0,,,,7756.969744,63176.996191,180.09360999999998,46.815554,19399.017152,475.987675,1342.965149,281.125728,9420.0,2190.0,560000.0
